accuracy,time,attempts,next_difficulty,grade,improvement
0.769230769,87,13,1,0.72,1
0.833333333,90,12,2,0.833,1
0.666666667,88,15,1,0.72,1
0.769230769,92,13,1,0.769,1
0.909090909,82,11,2,0.909,1
0.526315789,155,19,1,0.5,1
0.833333333,159,12,2,0.77,1
0.5,157,20,1,0.46,1
0.714285714,162,14,1,0.62,1
0.526315789,151,19,1,0.49,1
0.4,41,25,1,0.41,2
0.384615385,42,26,0,0.435,2
0.384615385,25,26,0,0.485,2
0.333333333,31,30,0,0.4833,2
0.344827586,45,29,0,0.435,2
0.833333333,108,12,2,0.833,1
1,123,10,2,0.93,1
1,125,10,2,0.91,1
0.833333333,122,12,2,0.8,1
0.666666667,117,15,1,0.62,1
0.769230769,98,13,1,0.769,1
0.769230769,84,13,1,0.769,1
0.769230769,89,13,1,0.769,1
0.909090909,88,11,2,0.909,1
0.769230769,91,13,1,0.769,1
0.769230769,116,13,1,0.769,1
0.769230769,100,13,1,0.769,1
0.909090909,104,11,2,0.909,1
0.625,108,16,1,0.6,2
0.833333333,115,12,2,0.833,1
0.833333333,218,12,2,0.78,1
0.769230769,231,13,1,0.64,1
0.909090909,237,11,2,0.84,1
0.909090909,217,11,2,0.87,1
0.555555556,219,18,1,0.49,1
0.625,255,16,1,0.6,1
0.555555556,244,18,1,0.52,1
0.625,253,16,1,0.67,1
0.666666667,242,15,1,0.67,1
0.555555556,249,18,1,0.45,1
0.714285714,80,14,1,0.72,1
0.769230769,82,13,1,0.78,1
0.909090909,76,11,2,0.94,1
1,89,10,2,0.9,1
0.833333333,90,12,2,0.86,1
0.909090909,76,11,2,0.94,1
0.666666667,81,15,1,0.68,1
0.714285714,92,14,1,0.714,1
0.666666667,72,15,1,0.667,1
0.666666667,65,15,1,0.667,1
0.714285714,61,14,1,0.714,1
0.833333333,65,12,2,0.833,1
0.666666667,49,15,1,0.77,2
0.714285714,67,14,1,0.714,1
1,59,10,2,1,1
0.833333333,53,12,2,0.87,1
0.769230769,48,13,1,0.81,1
0.769230769,49,13,1,0.769,1
0.714285714,90,14,1,0.714,1
0.666666667,87,15,1,0.667,1
0.666666667,80,15,1,0.667,1
0.909090909,75,11,2,0.909,1
0.714285714,85,14,1,0.75,1
0.666666667,89,15,1,0.667,1
0.666666667,79,15,1,0.667,1
0.588235294,76,17,1,0.588,1
0.666666667,74,15,1,0.667,1
0.555555556,149,18,1,0.556,1
0.833333333,151,12,2,0.76,1
0.588235294,149,17,1,0.49,1
0.476190476,153,21,1,0.47,0
0.5,146,20,1,0.48,0
0.454545455,155,22,1,0.41,1
0.833333333,152,12,2,0.78,1
0.625,147,16,1,0.59,0
0.833333333,154,12,2,0.76,1
0.476190476,36,21,1,0.54,2
0.476190476,33,21,1,0.496,2
0.344827586,26,29,0,0.45,0
0.333333333,37,30,0,0.433,0
0.344827586,39,29,0,0.345,2
0.333333333,43,30,0,0.333,2
0.37037037,32,27,0,0.43,2
0.416666667,42,24,1,0.417,2
0.476190476,41,21,1,0.476,2
0.769230769,117,13,1,0.72,1
0.666666667,106,15,1,0.6,1
0.714285714,125,14,1,0.69,1
0.714285714,110,14,1,0.7,1
0.833333333,109,12,2,0.813,1
0.769230769,107,13,1,0.74,1
0.714285714,113,14,1,0.694,1
1,122,10,2,0.96,1
0.714285714,108,14,1,0.67,1
0.769230769,103,13,1,0.739,1
0.833333333,89,12,2,0.833,1
0.909090909,96,11,2,0.91,1
0.666666667,102,15,1,0.62,1
0.909090909,99,11,2,0.9,1
0.769230769,91,13,1,0.75,1
0.666666667,84,15,1,0.667,1
0.666666667,104,15,1,0.667,1
0.833333333,87,12,2,0.833,1
0.714285714,114,14,1,0.69,1
0.909090909,101,11,2,0.909,1
0.714285714,116,14,1,0.7,1
0.909090909,105,11,2,0.909,1
0.909090909,116,11,2,0.905,1
0.769230769,110,13,1,0.72,1
0.909090909,101,11,2,0.909,1
1,111,10,2,0.95,1
0.625,110,16,1,0.59,1
0.526315789,229,19,1,0.466,1
0.714285714,232,14,1,0.68,1
0.909090909,236,11,2,0.86,1
0.714285714,235,14,1,0.62,1
0.714285714,234,14,1,0.62,1
0.588235294,233,17,1,0.52,1
0.909090909,233,11,2,0.86,1
0.769230769,232,13,1,0.68,1
0.666666667,227,15,1,0.59,1
0.833333333,255,12,2,0.78,1
0.666666667,240,15,1,0.59,1
1,250,10,2,0.89,1
0.625,243,16,1,0.51,1
0.588235294,255,17,1,0.45,1
0.769230769,256,13,1,0.67,1
0.588235294,243,17,1,0.56,1
0.588235294,252,17,1,0.45,1
0.666666667,240,15,1,0.51,1
